0.1,0.2,0.03,0.0.4,0.0.7,1.0,0.0,0.17,0.0.8,2,0.0.1,0.0.6,25,0.9,0.3,0.17.1,0.0.5,150,0.0.2,0.05,1,0.0.9,2.1,0.0.3,0
0,0,0.02,0.0,0.0,1.0,0.0,0.3,0.0,2,0.0,0.0,68,0,0,0.3,0.0,223,0.0,0.04,1,0.0,2,0.0,0
15,0,0.19,0.0,0.0,1.0,0.0,0.48,0.0,1,0.0,0.02,163,1,336,0.05,0.0,21,0.0,0.0,1,0.0,1,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14,0.0,0.03,255,1,12602,0.01,0.0,98,0.0,0.0,1,0.0,14,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20,0.0,0.01,255,1,5790,0.01,0.11,182,0.0,0.0,1,0.0,27,0.0,0
2,0,0.15,0.0,0.0,1.0,0.0,0.6,0.0,2,0.0,0.0,12,0,145,0.1,0.0,20,0.0,0.0,2,0.0,2,0.0,14
11,0,0.06,0.0,0.0,1.0,0.0,0.36,0.0,1,0.0,0.0,13,0,44,0.36,0.0,36,0.0,0.0,2,0.0,1,0.0,5
11,0,0.01,0.02,0.0,0.99,0.0,1.0,0.0,92,0.0,0.0,254,0,139,0.0,0.01,255,0.0,0.0,2,0.0,172,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,0.0,0.02,255,1,857,0.01,0.0,75,0.0,0.0,1,0.0,3,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6,0.0,0.02,255,1,276,0.05,0.12,19,0.0,0.0,1,0.0,16,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14,0.0,0.0,255,1,958,0.0,0.11,255,0.0,0.0,1,0.0,18,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8,0.0,0.01,255,1,566,0.01,0.07,187,0.0,0.0,1,0.0,44,0.0,0
1,0,0.04,0.27,0.02,0.09,0.09,0.0,0.0,11,0.0,0.0,1,0,0,0.4,0.0,227,0.0,0.0,1,0.0,1,0.0,0
3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.22,120,0,0,1.0,0.0,1,1.0,1.0,1,1.0,1,1.0,0
15,0,0.03,0.0,0.0,1.0,0.0,0.77,0.0,1,0.0,0.0,75,1,334,0.01,0.0,97,0.0,0.0,1,0.0,1,0.0,6
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,19,0.0,0.02,255,1,1408,0.05,0.0,19,0.0,0.0,1,0.0,19,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,0.0,0.11,18,1,601,0.14,0.0,7,0.0,0.0,1,0.0,7,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14,0.0,0.05,255,1,584,0.01,0.0,111,0.0,0.0,1,0.0,14,0.0,0
11,0,0.01,0.0,0.0,1.0,0.0,0.97,0.0,73,0.0,0.0,247,0,134,0.0,0.01,255,0.0,0.0,2,0.0,153,0.0,0
3,1,0.0,0.0,1.0,1.0,1.0,1.0,0.01,1,1.0,0.17,120,0,0,1.0,0.0,1,0.0,0.0,1,0.99,1,0.0,0
3,0,0.01,0.0,0.0,1.0,0.0,0.96,0.01,5,0.0,0.0,193,1,3222,0.0,0.0,202,0.0,0.0,1,0.0,5,0.0,0
0,0,0.5,0.0,0.0,1.0,0.0,0.33,0.0,2,0.0,0.0,2,0,0,0.33,0.0,6,0.0,0.0,1,0.0,2,0.0,0
11,0,0.03,0.0,0.0,1.0,0.0,0.14,0.0,1,0.0,0.06,34,0,0,0.14,1.0,222,0.0,0.0,2,0.0,2,0.0,0
11,0,0.01,0.0,0.0,1.0,0.0,0.85,0.0,307,0.0,0.0,218,0,83,0.0,0.0,255,0.0,0.0,2,0.0,307,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.0,255,1,14183,0.01,0.6,255,0.0,0.0,1,0.0,10,0.0,0
15,0,0.03,0.0,0.0,1.0,0.0,0.61,0.0,1,0.0,0.0,128,1,367,0.0,0.0,210,0.0,0.0,1,0.0,1,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20,0.0,0.01,255,1,7156,0.01,0.0,194,0.0,0.0,1,0.0,20,0.0,0
11,0,0.02,0.0,0.0,1.0,0.0,0.11,0.0,1,0.0,0.08,25,0,0,0.11,1.0,210,0.0,0.0,2,0.0,2,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,0.0,0.04,255,1,16588,0.02,0.0,66,0.0,0.0,1,0.0,7,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13,0.0,0.0,255,1,1651,0.0,0.18,255,0.0,0.0,1,0.0,28,0.0,0
1,0,0.07,0.77,0.0,0.05,0.05,0.0,0.0,22,0.0,0.0,1,0,0,0.46,0.0,255,0.0,0.0,1,0.0,1,0.0,0
15,1,0.03,0.0,0.01,1.0,0.5,0.84,0.01,2,0.5,0.01,145,0,0,0.01,0.0,156,0.0,0.0,1,0.0,2,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,0.0,0.04,255,1,18961,0.01,0.0,92,0.0,0.0,1,0.0,4,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,0.0,0.05,255,1,2459,0.04,0.25,26,0.0,0.0,1,0.0,8,0.0,0
0,0,0.03,0.0,0.0,1.0,0.0,0.36,0.0,12,0.0,0.03,77,1,0,0.36,0.0,199,0.0,0.0,1,0.0,12,0.0,0
11,0,0.1,0.4,0.0,0.2,0.0,0.95,0.0,5,0.0,0.0,20,0,44,0.05,0.4,21,0.0,0.0,2,0.0,5,0.0,28
9,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.0,1,1,1653,1.0,0.0,1,0.0,0.0,1,0.0,1,0.0,9
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45,0.0,0.02,255,1,1971,0.01,0.06,113,0.0,0.0,1,0.0,47,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14,0.0,0.05,255,1,7477,0.01,0.0,100,0.0,0.0,1,0.0,14,0.0,0
15,0,0.02,0.0,0.0,1.0,0.0,0.25,0.0,1,0.0,0.0,64,1,286,0.0,0.0,255,0.0,0.0,1,0.0,1,0.0,0
3,6,0.0,0.0,1.0,1.0,1.0,1.0,0.01,1,0.33,0.06,255,1,16060,1.0,1.0,1,0.0,0.0,1,0.0,3,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,0.0,0.01,255,1,8091,0.02,0.0,59,0.0,0.0,1,0.0,3,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,0.0,0.06,255,1,839,0.02,0.25,53,0.0,0.0,1,0.0,12,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.04,255,1,2942,0.01,1.0,88,0.0,0.0,1,0.0,2,0.0,0
1,0,0.44,0.6,0.0,0.2,0.0,0.0,0.0,5,0.0,0.0,1,0,105,0.84,0.0,255,0.0,0.0,2,0.0,1,0.0,4134
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11,0.0,0.04,255,1,441,0.03,0.0,36,0.0,0.0,1,0.0,11,0.0,0
11,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,200,0.0,0.0,255,0,43,0.0,0.0,255,0.0,0.0,2,0.0,200,0.0,0
11,0,0.01,0.0,0.0,1.0,0.0,0.84,0.0,1,0.0,0.0,214,0,91,0.0,0.0,255,0.0,0.0,2,0.0,1,0.0,0
11,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,74,0.0,0.0,255,0,137,0.0,0.01,255,0.0,0.0,2,0.0,154,0.0,0
2,0,0.01,0.0,0.0,1.0,0.0,0.99,0.0,1,0.0,0.0,140,0,147,0.01,0.0,142,0.0,0.0,2,0.0,1,0.0,0
3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,0.0,0.23,163,0,0,0.1,0.0,10,0.71,0.8,1,0.99,7,0.71,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,34,0.0,0.0,255,1,491,0.0,0.12,255,0.0,0.0,1,0.0,41,0.0,0
15,0,0.02,0.0,0.0,1.0,0.0,0.81,0.0,1,0.0,0.0,206,1,364,0.0,1.0,254,0.0,0.0,1,0.0,2,0.0,7
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,0.0,0.01,255,1,3867,0.0,0.0,228,0.0,0.0,1,0.0,4,0.0,0
11,0,0.02,0.03,0.0,0.98,0.0,0.75,0.0,66,0.0,0.0,191,0,128,0.0,0.02,255,0.0,0.0,2,0.0,148,0.0,0
0,0,0.47,0.0,0.47,1.0,0.0,0.21,0.0,9,0.0,0.0,53,0,0,0.21,0.0,255,0.0,0.0,1,0.0,9,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10,0.0,0.01,255,1,1747,0.01,0.1,95,0.0,0.0,1,0.0,20,0.0,0
11,0,0.01,0.0,0.0,1.0,0.0,0.8,0.0,116,0.0,0.0,203,0,46,0.01,0.0,255,0.0,0.0,2,0.0,116,0.0,0
15,0,0.02,0.0,0.0,1.0,0.0,0.57,0.0,1,0.0,0.01,167,1,341,0.01,1.0,190,0.0,0.0,1,0.0,2,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14,0.0,0.02,255,1,678,0.07,0.1,14,0.0,0.0,1,0.0,21,0.0,0
11,0,0.11,0.0,0.0,1.0,0.0,0.78,0.0,8,0.0,0.0,14,0,46,0.06,0.12,18,0.0,0.0,2,0.0,17,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,0.0,0.02,255,1,1899,0.02,0.0,65,0.0,0.0,1,0.0,7,0.0,0
15,0,0.13,0.0,0.0,1.0,0.0,0.77,0.0,1,0.0,0.02,129,1,330,0.03,0.0,39,0.0,0.0,1,0.0,1,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14,0.0,0.01,255,1,1918,0.0,0.0,241,0.0,0.0,1,0.0,14,0.0,0
10,0,0.03,0.0,0.0,1.0,0.0,0.04,0.17,1,0.0,0.5,6,0,173,0.01,0.0,90,0.0,0.0,1,0.0,1,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,0.0,0.06,255,1,1109,0.25,0.0,4,0.0,0.0,1,0.0,4,0.0,0
11,0,0.01,0.01,0.0,1.0,0.0,0.88,0.0,302,0.0,0.0,224,0,138,0.0,0.0,255,0.0,0.0,2,0.0,301,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10,0.0,0.05,255,1,774,0.01,0.0,121,0.0,0.0,1,0.0,10,0.0,0
3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.13,247,0,0,0.07,0.0,14,1.0,1.0,1,0.68,1,1.0,0
15,0,0.5,0.0,0.0,1.0,0.0,0.67,0.0,1,0.0,0.0,4,1,404,0.17,1.0,6,0.0,0.0,1,0.0,2,0.0,1
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.02,21,0.0,0.02,255,1,2333,0.01,0.08,68,0.0,0.0,1,0.01,25,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.07,255,1,1758,0.33,0.0,3,0.0,0.0,1,0.0,1,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,0.0,0.02,255,1,309,0.01,0.0,107,0.0,0.01,1,0.0,3,0.0,0
3,0,0.0,0.0,0.02,1.0,0.0,1.0,0.0,7,0.0,0.03,255,1,2769,0.02,0.25,50,0.0,0.0,1,0.0,8,0.0,0
15,0,0.02,0.0,0.0,1.0,0.0,0.49,0.0,1,0.0,0.0,76,1,330,0.01,0.0,154,0.0,0.0,1,0.0,1,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.0,255,1,473,0.0,0.11,255,0.0,0.0,1,0.0,27,0.0,0
3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.07,255,0,0,0.03,0.0,33,1.0,1.0,1,0.91,1,1.0,0
